subject,condition,trial_type,trial_num,target_item,selected_item,correct,landing_position,excluded
3,left,training,54,2,2,1,,False
3,left,training,55,0,0,1,,False
3,left,training,56,4,4,1,,False
3,left,training,57,2,2,1,,False
3,left,training,58,3,3,1,,False
3,left,training,59,1,1,1,,False
3,left,training,60,5,5,1,,False
3,left,training,61,7,7,1,,False
3,left,training,62,0,0,1,,False
3,left,training,63,6,6,1,,False
3,left,test,0,6,6,1,,False
3,left,test,1,4,4,1,,False
3,left,test,2,1,1,1,,False
3,left,test,3,6,6,1,74,False
3,left,test,4,3,3,1,178,False
3,left,test,5,6,6,1,150,False
3,left,test,6,7,7,1,,False
3,left,test,7,4,4,1,75,False
3,left,test,8,4,4,1,126,False
3,left,test,9,0,0,1,69,False
3,left,test,10,6,6,1,122,False
3,left,test,11,3,3,1,135,False
3,left,test,12,7,7,1,91,False
3,left,test,13,3,3,1,154,False
3,left,test,14,0,0,1,122,False
3,left,test,15,7,7,1,90,False
3,left,test,16,6,6,1,139,False
3,left,test,17,6,6,1,127,False
3,left,test,18,2,2,1,104,False
3,left,test,19,6,6,1,141,False
3,left,test,20,2,2,1,101,False
3,left,test,21,0,0,1,124,False
3,left,test,22,3,3,1,136,False
3,left,test,23,7,7,1,95,False
3,left,test,24,2,2,1,87,False
3,left,test,25,7,7,1,98,False
3,left,test,26,5,5,1,116,False
3,left,test,27,1,1,1,88,False
3,left,test,28,3,3,1,101,False
3,left,test,29,5,5,1,,False
3,left,test,30,1,1,1,112,False
3,left,test,31,5,5,1,93,False
3,left,test,32,1,1,1,123,False
3,left,test,33,0,0,1,129,False
3,left,test,34,2,2,1,92,False
3,left,test,35,4,4,1,6,False
3,left,test,36,0,0,1,100,False
3,left,test,37,5,5,1,99,False
3,left,test,38,5,5,1,104,False
3,left,test,39,3,3,1,158,False
3,left,test,40,4,4,1,,False
3,left,test,41,4,4,1,94,False
3,left,test,42,1,1,1,204,False
3,left,test,43,2,2,1,178,False
3,left,test,44,5,5,1,97,False
3,left,test,45,7,7,1,179,False
3,left,test,46,3,3,1,114,False
3,left,test,47,2,2,1,109,False
3,left,test,48,1,1,1,98,False
3,left,test,49,4,4,1,132,False
3,left,test,50,2,2,1,98,False
3,left,test,51,0,0,1,113,False
3,left,test,52,3,3,1,123,False
3,left,test,53,4,4,1,101,False
3,left,test,54,0,0,1,87,False
3,left,test,55,7,7,1,106,False
3,left,test,56,7,7,1,99,False
3,left,test,57,6,6,1,105,False
3,left,test,58,5,5,1,123,False
3,left,test,59,5,5,1,105,False
3,left,test,60,0,0,1,86,False
3,left,test,61,1,1,1,,False
3,left,test,62,1,1,1,144,False
3,left,test,63,2,2,1,122,False
4,left,training,0,5,5,1,,True
4,left,training,1,1,1,1,,True
4,left,training,2,4,3,0,,True
4,left,training,3,7,7,1,,True
4,left,training,4,0,2,0,,True
4,left,training,5,3,5,0,,True
4,left,training,6,2,2,1,,True
4,left,training,7,6,6,1,,True
4,left,training,8,1,0,0,,True
4,left,training,9,7,7,1,,True
